SD,RS,GS_Base_ICL,GS_Base_SFT,GS_Chat_ICL,GS_Chat_SFT,RS_Len_Base,RS_Len_Chat,OOV_RS_Base,OOV_RS_Chat,Novel_RS,OOV_SD_Base,OOV_SD_Chat,R-L_Base_ICL,R-L_Base_SFT,R-L_Chat_ICL,R-L_Chat_SFT,Medical_Words_SplitMoreThan1,Medical_Words_SplitMoreThan3,Medical_Words_SplitMoreThan1_SD,Medical_Words_SplitMoreThan3_SD,CSr__Base_ICL,CSr__Base_SFT,CSr__Chat_ICL,CSr__Chat_SFT
Our family will go to Manila and Thailand in December and January. Please recommend any vaccinations that we should have. Thanks!!!,What vaccination is needed for travel to the Philippines and Thailand?,What vaccinations should I get before traveling to Manila and Thailand?,What vaccinations do I need for Manila and Thailand?  What are the v,What vaccinations should we get before traveling to Manila and Thailand in December and,What vaccinations are required for travel to Manila and Thailand?  Is there a,15,15,0.1,0.1,0.7272727272727273,0.1666666666666666,0.1666666666666666,0.5454545454545454,0.4999999999999999,0.4799999999999999,0.5833333333333334,0.4,0.0,0.3333333333333333,0.1666666666666666,0.0,0.5,0.0,0.3333333333333333
Hello –  Do you know if there are blood or urine tests that can detect if an individual is taking Flomax??  Your assistance is appreciated. Thank you,Can blood or urine tests detect Flomax use?,Are there any tests that can detect if someone is taking Flomax?,How can I detect if someone is taking flomax?  What are the drug tests for fl,Can blood or urine tests detect Flomax use?,Is there a test that can detect if someone is taking Flomax?  Is there a drug,12,12,0.2857142857142857,0.2857142857142857,0.375,0.0416666666666666,0.0416666666666666,0.3,0.25,1.0,0.25,0.2857142857142857,0.0,0.2857142857142857,0.0,0.3333333333333333,0.25,1.0,0.25
my boyriend was taking tasigna and i became pregnant i want to know what kind of birth defects can it cause to my unborn child.,If the father is on tasigna will the baby have birth defects?,What are the risks of tasigna to a fetus?,What birth defects can tasigna cause?  What are the side effects of tas,Can Tasigna cause birth defects in an unborn child?,What birth defects can tasigna cause?  Is it contraindicated during pre,17,17,0.0909090909090909,0.0909090909090909,0.8333333333333334,0.2083333333333333,0.2083333333333333,0.1904761904761905,0.16,0.2857142857142857,0.1739130434782608,0.25,0.0,0.5,0.0,0.0,0.6,0.5454545454545454,0.6666666666666665
"My grandson now 3yr6mo.dx at abt 9mons w/pehh and ger and bad reflux. surgery finally done and nissen has been in place ever since. Glad my daughter n son in law r both nurses. Behaviors entrenched from reflux discomfort --misery. His hand grip worries me, therapy in place for that. Visiting over Christmas I’m scared of disrupting his detailed feeding protocol. He’s finally on the wt. charts. So rare, lay people say: let him get hungry and he’ll eat. That’s so cruel it makes be angry so I don’t talk. Any info on what grama can do to ease my daughter’s workload. Read more abt? intimidating.",How can i help caring for a child after Nissen anti-reflux surgery?,What are the best practices for feeding a child with gastroesophageal reflux disease (GERD)?,"How can I care for my infant with feeding tube:  a) eating, b",How can a grandmother support her grandson's feeding protocol and reduce the burden,3 year old child with perforated esophagus (peh) and gERD,20,20,0.2,0.2,0.6666666666666666,0.2098765432098765,0.2098765432098765,0.2962962962962963,0.4615384615384615,0.2222222222222222,0.0869565217391304,0.5,0.0,0.5,0.0,0.22222222222222224,0.0,0.0,0.22222222222222224
Is it safe to take Relora if I seizure disorder? I had a Cavernoma removed from my brain that my drs believe caused me to have a seizure. I am now taking Keppra for seizure prevention. I would like to take Relora to combat the anxiety and to lift my mood. It seems no drs know much about supplements.,What plant extracts are safe to take with Keppra? ,Is it safe to take Relora if I have a seizure disorder?,Are there drug interactions between relora and cavernauuu:  a seizure,Is it safe to take Relora with a seizure disorder?,Are there contraindications between Relora and Keppra? What are the contraindic,14,14,0.125,0.125,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.2857142857142857,0.1052631578947368,0.4210526315789474,0.1999999999999999,0.6666666666666666,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0
"I’m 30 years old and when I was 23 my period wasnt coming every month, and I still don’t get my period , last time I got it was 4 months ago and I’m really worried.",What causes irregular periods in young women?,What is the cause of irregular periods?,How can I get my periods back?  What are the treatments for irregular periods?  What,What could be causing my irregular periods?,30 year olds who do not get periods are not on birth control pills or horm,8,8,0.0,0.0,0.8571428571428571,0.037037037037037,0.037037037037037,0.5714285714285714,0.2727272727272727,0.5714285714285714,0.0869565217391304,0.0,0.0,0.1428571428571428,0.0,0.5,0.4,0.6666666666666666,0.0
"i am 28 height 170 cm ,58 kg tropical area living.my eyes are infected when i watch to a plain surface i can see something moving like a narrow tubes before my eyes.it seems partially burned like half burned worms and i am also seeing something glittering in front of my eyes i checked ASO it is 230 (normal value is 200)i am lean and no increase in body weight for the last 8 years. how can you help me",Could eye floaters and flashes be caused by strep?,What is causing my eyes to see things moving and glittering?,What are the treatments for low HDL eosinuetinuetinuet,What could be causing my eye infection and abnormal ASO test results?,What are the treatments for moving specimens in the eyes and glittering in front of,13,13,0.25,0.25,0.6666666666666666,0.1,0.1,0.1999999999999999,0.0,0.2857142857142857,0.1666666666666666,0.6666666666666666,0.0,0.238095238095238,0.0,0.0,0.0,0.0,0.0
hi   i have NYSTAGMUS plm lAST 3 years  i want to know that any possibility to resolved my plm thanks tell me the right medicine i need your help,How can nystagmus be resolved in adults?,What are the treatments for nystagmus?,What are the treatments for plm?  What are the treatments for plm?,What are the treatments for nystagmus?,What are the treatments for nystagmus and how can it be cured? What are,12,12,0.1666666666666666,0.1666666666666666,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.1538461538461538,0.0,0.1538461538461538,0.2857142857142857,0.6666666666666666,0.3333333333333333,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.0
"I have a detached cruciate ligament in my left knee. If I submit to reconstruction surgery, how long will recovery take? Because of my age (over 90) I need to remain as physically active as possible. I live alone. My injury occured several years ago, but only recently has been causing me major discomfort.",Is knee surgery recommended for detached cruciate ligament in a 90-year-old?,How long does recovery take after cruciate ligament reconstruction surgery?,How long does recovery take after detached cruciate ligament surgery?  I am over,What is the typical recovery time for detached cruciate ligament reconstruction surgery?,How long does recovery take for detached cruciate ligament surgery? What are the recovery,24,24,0.5,0.5,0.2727272727272727,0.1333333333333333,0.1333333333333333,0.1739130434782608,0.2307692307692307,0.4,0.2962962962962963,0.625,0.0,0.4,0.0,0.0,0.39999999999999997,0.2857142857142857,0.39999999999999997
I have a patchy skin and it has become very dull these days and also i find few rash\pimples on my face. could you please suggest me the food tha i have to take to increase my complexion and get rid of this dullness and rash\pimples.,What foods help clear skin?,What foods can I eat to improve my skin?,What are the foods that can help complexion?  What are the foods that can help,What dietary changes can I make to improve my skin complexion and reduce rashes and,What foods are there that can help to brighten skin and prevent rashes?  and,7,7,0.25,0.25,1.0,0.1162790697674418,0.1162790697674418,0.4285714285714285,0.3,0.2,0.4210526315789473,0.25,0.0,0.4545454545454545,0.0,0.0,0.5,0.0,0.5
I had surgery in 2011. I had an injury from a gunshot and the doctors put a stent in my carotid artery. I want to play sports. I am sure basketball is fine. I do not know about football since it is mainly a contact sport. Has anyone ever played football witha a stent in their neck ? I know there are some details I should note before furthering my want of playing sports.,What sports can I play if I have a stent in carotid artery?,What are the risks of playing sports with a stent in the carotid artery?,What are the risks of stents in neck arteries?  Can I play contact sports,Can I safely play football with a stent in my neck?,What are the guidelines for exercise after carotid artery stenting? What are,18,18,0.1666666666666666,0.1666666666666666,0.5384615384615384,0.1194029850746268,0.1194029850746268,0.5185185185185186,0.2962962962962963,0.4999999999999999,0.24,0.6,0.0,0.2777777777777778,0.0,0.6666666666666666,0.1818181818181818,0.4,0.25
"my mother passed away Sunday from Sepsis-Bowel Perforation and I needed to know what it is. She wasn’t sick till the night before after she ate supper. She said her stomace was hurting. She feel the next moning and hit her head. She was ice cold with alittle sweat on her neck. Please, explain this to me.",Why did my mother die from a Sepsis-Bowel Perforation and falling and hitting her head?,What is sepsis-bowel perforation?,What are the causes of sepsis- bowel perforation?  How can I find,What is sepsis-bowel perforation and how did it cause my mother's,What are the symptoms of sepsis bowel perforation? Where can I find information,23,23,0.0769230769230769,0.0769230769230769,0.5333333333333333,0.125,0.125,0.2857142857142857,0.2142857142857142,0.2758620689655172,0.2068965517241379,0.4285714285714285,0.0,0.25,0.0,0.0,0.0,0.0,0.0
I NEED PARENT TRAINING. My 9 year old son has ODD and ADHD.  I’m in desperate need of an extensive parent training class. I don’t know what to do anymore and really need help.  My son says I do nothing for him after spending the entire day taking him places.  He yells and screams at me and tells me I’m a terrible mother.  He refuses to listen and I have to ask 10 times before he reacts. He will not do homework..  I have tried positive reinforcement…… Please I need someone that know their stuff..,Who can train a parent of a 9-year-old with ODD and ADHD?,What resources are available for parents of children with ODD and ADHD?,How can I find physician(s) or hospital(s) who specialize in ODD,What parent training programs are available for children with ODD and ADHD?,Where can I find parent training for ADHD and ODD?  Where can I find information on,20,20,0.1,0.1,0.5,0.1,0.1,0.4615384615384615,0.1481481481481481,0.3846153846153846,0.1999999999999999,0.0,0.0,0.3333333333333333,0.0416666666666666,0.0,0.0,0.0,0.0
three weeks ago I saw the local doctor lady.. she listened to my description of abdominal pain down the left groin area. now the pain is occasionally not nice and there is a swelling which is uncomfortable to touch when I have the pain . The swelling is soft like a liquid pouch. I have undergon Prostrate cancer Radiotherapy which resulted in occasional mucus and blood discharge when passing stool and wind. This mucky bum has settled down and for some months I have not had any accidents (soiled pants). The doctors letter said iI had a friable back passage which bled on contact. I am due for Colonoscopy. What should I do? is it dangerous to undergo the colonoscopy with a friable weakened colon . I  am 68 year old white male. 6ft 4  tall 84 kg. reasonably fit and active.,is it dangerous to undergo colonoscopy with a friable weakened colon?,What should I do about my friable back passage?,What are the risks of colonoscopy?  What are the risks of prostate cancer,What should I do about the swelling and pain in my abdomen?,What are the guidelines for colonscopy on someone who had prostate cancer and had ble,17,17,0.4,0.4,0.0909090909090909,0.1935483870967742,0.1935483870967742,0.0999999999999999,0.0833333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0476190476190476,1.0,0.0,0.0,0.0
Is sedation or some form of twilight sleep or something for relaxation normally used for pill capsule camera for GI issues test? I have difficulty swallowing large pills and do not think I can do this awake. My mother and sister have to have their esphophgus stretched so I could possibly have some genetic factors. I am very scared of choking with this test. What is the normal procedure and do you have any suggestions? Thanks,Can i get sedated for capsule endoscopy?,What is the normal procedure for pill capsule camera for GI issues test?,How is pill ingestation conducted during esophageal cancer tests?  What are the ris,Can sedation or relaxation techniques be used during a pill capsule camera test for GI issues,What are the options for pill camera for GI issues test and how is it performed? What are,12,12,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.1690140845070422,0.1690140845070422,0.2,0.0,0.2608695652173912,0.08,0.75,0.0,0.3636363636363636,0.0,0.0,0.0,0.1818181818181818,0.0
I am seeking information regarding wandering/lazy eye correction. I have suffered from this condition since I was a child. Please forward any pertinent information. Thank you.,Is it possible to fix wandering/lazy eye in adults?,What are the treatments for wandering/lazy eye correction?,Where can I find information on wanderin/lazy eye?  What are the treatments,What are the treatment options for wandering/lazy eye correction?,Where can I find information on laser surgery for wanderer's eye? Where can,15,15,0.0,0.0,0.5555555555555556,0.0476190476190476,0.0476190476190476,0.3157894736842105,0.1739130434782608,0.3,0.1666666666666666,0.4,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0
"hello doctor  my frnd is suffered with  chronic myelogenous leukemia (cml) (age 47)..she is treated with a medicine  called Gleevec since 4 months ..doctor said took blood test for every week ..the problem is  platelet count rapidly decreased week by week ...last blood report shows platelet count as 90000,now her count droped to 750000..what should we do...plz help me..",Should Gleevec be adjusted for my friend with chronic myelogenous leukemia (cml) whose platelet count is decreasing? ,What is the best treatment for chronic myelogenous leukemia?,What are the treatments for low platelet count?  How can I find physician(s,What are the treatment options for chronic myelogenous leukemia with low platelet count,What are the treatments for platelet count drops in cml patients?  What are the,33,33,0.4,0.4,0.4117647058823529,0.1875,0.1875,0.3076923076923076,0.1935483870967742,0.4000000000000001,0.1935483870967742,0.8,0.1,0.3333333333333333,0.0476190476190476,0.0,0.0,0.0,0.7272727272727272
I have a problem. I am not remember my study always forget .I am not consntrate on study. When i am reading i am thinking any others topic. I am confused Is this a Alhizmer.I think i am loss my memory .Please help me and suggest me.,How can I concentrate and avoid forgetting what i study? ,What is the best way to study?,How can I stop forgetting things?  What are the treatments for Alzheimer's,Can you help me with my memory loss and forgetfulness?,What are the symptoms of Alzheimer's and how can I prevent it? Is it,14,14,0.2222222222222222,0.2222222222222222,0.8,0.025,0.025,0.2352941176470588,0.4347826086956522,0.3,0.24,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
recently my son took an eye examine and  he had 20/40 in one eye and 20/25 in the other would he need glasses? then when they continue the eye examine they said the Fundus could not be visualized in either eye. I just want some understanding on both situations.,Does a child with 20/40 vision need glasses? Why would fundus not be visualized? ,What are the treatments for 20/40 in one eye and 20/25 in the other?,"How is vision and glauuuar disease diagnosed, and what are the treatments for","Will my son need glasses due to his eye exam results, and what does it mean that the","20/40 in one eye and 20/25 in the other, and",25,25,0.0909090909090909,0.0909090909090909,0.4285714285714285,0.0454545454545454,0.0454545454545454,0.1290322580645161,0.0714285714285714,0.1212121212121212,0.1481481481481481,0.3333333333333333,0.0,0.2857142857142857,0.0,0.0,0.0,0.6666666666666666,0.0
"Good morning, I'm not sure where to start with this so am hoping you could point me in the right direction please? My husband recently saw a specialist in relation to his elbow. He was told he would need an elbow reconstruction. The specialist mentioned that someone in the US had made something to fix this problem but even though it was patented, it didn't sell so it is now not made anymore. Would you know what this was and called, and who I could get in contact with about it please? We live in  Australia. My husband is a keen sportsman and is not taking this news very well as he's been told he won't be able to play sport again. Any help would be greatly appreciated.",Are there any elbow replacements that completely restore elbow function? ,What is the recovery process after elbow reconstruction surgery?,What are the latest treatments for elbow injury?  How can I find physician(s,"What is the alternative treatment for elbow reconstruction?
##
Query 4: I am","Where can I find information on elbow reconstruction, including the patented and non-patented",16,16,0.3333333333333333,0.3333333333333333,0.6,0.0353982300884955,0.0353982300884955,0.1052631578947368,0.1666666666666666,0.0909090909090909,0.0833333333333333,0.5,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0
I have been suffering from digestive problems for 30 years. It has recently flared up bad and I am looking for ideas to try to heal. I was diagnosed with IBS at 13.   I was curious about the servings in the C-IBS Formulation. How's much of each in mgs? How many times a day? I want to take a more holistic approach as I'm going to be 42 and i am tired of suffering and the side effects of my anti nausea meds that left me with an eye tic. If any information can be given I would be greatly appreciative.,What is in the C-IBS formula and how should it be used? How do you treat IBS naturally?,What are the causes of digestive problems?,What are the ingredients of C-IBS and how should it be taken?,"How much of each ingredient is recommended in the C-IBS Formulation, and how",Where can I find information on C-IBS formulation and how to treat it?  Where,24,24,0.0666666666666666,0.0666666666666666,0.5555555555555556,0.0909090909090909,0.0909090909090909,0.1538461538461538,0.5625,0.4242424242424242,0.2941176470588235,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.4
Someone I know discovered she had TB in the past (unknowingly).  I don’t know if she had TB disease or a TB infection.  She believes she caught it from her aunt who worked as a dietician at a TB sanitarium.  The aunt DID NOT have TB.  Is this even possible?  Thanks very much.,Can tuberculosis spread without direct contact? ,Is it possible to catch TB from someone who does not have TB?,How is tuberculosis transmitted?  How is tuberculosis disease diagnosed?,Can a person catch TB from an infected family member?,"Where can I find information on tuberculosis, including how it is transmitted?  Where",11,11,0.2,0.2,1.0,0.217391304347826,0.217391304347826,0.0,0.1333333333333333,0.125,0.2105263157894736,0.25,0.25,0.4285714285714285,0.0,0.0,0.0,0.0,0.0
"I have heard about M.M.S. can it help with Barr syndrome/crohns I know about supplements but need more for the hands /feet muscles an diaphragm muscles, using only small dosage of the myatoxin only let's the body build defense to the paralyzed muscles so any information on both M. M. S. ,sodium chloride/citric acid healing curing, everything, to govern. Clinical trials for people suffering severe muscle problems in hands. Feet lungs",What is the best treatment for severe muscle problems caused by Guillain Barre Syndrome? Does Miracle Mineral Solution (MMS) help with Barre syndrome/Crohn's?,What are the treatments for Barr syndrome/crohns?,What are the clinical trials on myatoxin only and sodium chloride,"Can M.M.S. help treat muscle weakness in hands, feet, and dia",What are the treatments for barr syndrome and how can M. M. S. help,44,44,0.3,0.3,0.6956521739130435,0.2456140350877192,0.2456140350877192,0.4242424242424242,0.1111111111111111,0.0526315789473684,0.358974358974359,0.5454545454545454,0.0,0.5217391304347826,0.0434782608695652,0.25,0.0,0.16666666666666666,0.4444444444444445
I ask the home health aide to give me an enema. the home health aide has never given an enema. what should the home health aide do? I have not had a bowel movement in three days,How to administer an enema?,What should I do if I have not had a bowel movement in three days?,How do I get an enema?  What are the risks?  How do I care,What should the home health aide do when asked for an enema?,What are the treatments for bowel movement retention? What are the treatments for bowel,8,8,0.25,0.25,0.6,0.1176470588235294,0.1176470588235294,0.0,0.3157894736842105,0.2352941176470588,0.0,1.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0
"Hello, My sister suffers from obsessive-compulsive disorder for more than ten years And I want to know why the symptoms of obsessive-compulsive disorder increase during the menstrual period for this she is  very afraid and use contraceptive pills a monthly to prevent the menstrual cycle and is used this way since 5 years The first question is why the symptoms of obsessive-compulsive disorder increase during menstruation? The second question Are there any side effects as a result of the use of pills a month? I hope to help me found the answers because her conditions is very bad and please told me what we can do to help her. thank you very much and thank you for your time.",Do symptoms of obsessive-compulsive disorder increase during menstruation? What are the dangers of extended continuous use of contraceptive pills?,Why do symptoms of obsessive-compulsive disorder increase during menstruation?,What are the side effects of contraceptive pills?  What are the side effects of obs,Why do symptoms of obsessive-compulsive disorder worsen during menstru,1. Where can I find information on the menstrual cycle and its effect on obsessive,35,35,0.25,0.25,0.3157894736842105,0.109090909090909,0.109090909090909,0.6,0.3428571428571428,0.4666666666666667,0.0571428571428571,0.6,0.0,0.36,0.0,0.5333333333333333,0.39999999999999997,0.14285714285714288,0.0
Can I get my acid reflux surgery clipped to get lap band or would you suggest the sleeve or gastric bypass instead. What are possible complications if I get my acid reflux surgury clipped to get lap band? Thanks!,What is the best surgery for acid reflux? What complications could I have after acid reflux surgery?,Can I get my acid reflux surgery clipped to get lap band or would you suggest the sleeve or gastric bypass,What are the complications of acid reflux surgery and gastric/GI surg,"Can acid reflux surgery be combined with lap band, sleeve, or gastr","What are the treatments for acid reflux, and what are the complications of each treatment",26,26,0.2,0.2,0.6470588235294118,0.2777777777777778,0.2777777777777778,0.2105263157894736,0.4137931034482758,0.2068965517241379,0.4374999999999999,0.75,0.0,0.6,0.0,0.5454545454545454,0.8333333333333333,0.5454545454545454,0.5454545454545454
"hi, can malarone turn  your tongue black? if so, do u know why?  and how to fix?  Thx",What causes the tongue to turn black and how to get rid of it? What are the side effects of Malarone?,What are the side effects of malarone?,"What are the side effects of malarone, including turning my tongue black?  How can I","Can Malarone cause black tongue and if so, what are the possible causes and treatments?",Can malarone cause darkening of the tongue?  How is it treated?  Can mal,25,25,0.0,0.0,0.6666666666666666,0.1538461538461538,0.1538461538461538,0.5,0.3888888888888889,0.3333333333333333,0.2941176470588235,0.125,0.0,0.25,0.0,0.33333333333333337,0.4444444444444445,0.0,0.0
co q10 how effective and side effects for blood pressure treatment? Cider vinegar?,Can coQ10 lower blood pressure and does it have side effects? Can Cider vinegar lower blood pressure and does it have side effects? ,What is the effectiveness of CoQ10 for blood pressure?,"coenzyme q10 and cider vinegar, are they effective and what are the","What is the effectiveness and safety of CoQ10 for blood pressure treatment, including potential side",15. What are the side effects of coenzyme q10 (Coenzyme q,32,32,0.1,0.1,0.6086956521739131,0.1,0.1,0.1875,0.2285714285714285,0.2105263157894737,0.1176470588235294,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.3333333333333333
"A 65 year old female friend of mine was just recently diagnosed with Frontotemporal dementia - temporal variant.  She is devastated.  I am trying to help her find resources, clinical trials, etc. to help her.  Can you give me some names of doctors to contact, pertinent institutions to contact regarding the treatment of this disease.  Thank you.  ",Are there any clinical trials and other resources for a 65 year old female with Frontotemporal dementia?,What are the treatments for frontotemporal dementia?,How can I find physician(s) or clinical trials on Frontotemporal de,What are the treatment options for frontotemporal dementia?,"Where can I find information on clinical trials for frontotemporal dementia, including",27,27,0.2,0.2,0.4705882352941176,0.1304347826086956,0.1304347826086956,0.3333333333333333,0.2068965517241379,0.3199999999999999,0.3448275862068966,0.4444444444444444,0.1111111111111111,0.2857142857142857,0.0476190476190476,0.0,0.5333333333333333,0.0,0.33333333333333326
Lewy Body Disease. I have been researching Lewy Body Disease and have a few questions.1) Is this disease hereditary2) Does alcoholism play a role in the beginning process of this disease3) What are the initial symptoms of the diseaseAny information you could forward would be greatly appreciated.,"What are the risk factors, causes and early symptoms of the Lewy Body Disease?","Where can I find information on lewy body disease, including diagnosis and treatment?",Where can I find information on lewy body disease?  What are the inheritance patterns of lewy,"What are the causes and initial symptoms of Lewy Body Disease, and is it her",1) Is Lewy Body Disease hereditary? 2) Does alcoholism,20,20,0.1666666666666666,0.1666666666666666,0.5714285714285714,0.1666666666666666,0.1666666666666666,0.2222222222222222,0.3333333333333333,0.689655172413793,0.2608695652173913,0.375,0.0,0.3076923076923077,0.0,0.0,0.0,0.3333333333333333,0.0
My father is having cardiomyopathy through genes. He is 83 now. He was absoulutely normal till now. recently he is getting breathlessness. and he was admitted to the hospital twice. The doctors are telling that multi dieases are attacking his heart. I just want to know exactly what is happening and what precautions that he should take in future. What are the chances of survival? Please help.,what is the outlook for a 83 year old with cardiomyopathy?,What are the treatments for cardiomyopathy?,What are the prognosis and complications of cardiac disease?  What are the progn,"What are the treatments for genetic cardiomyopathy?
##

Please",What are the symptoms and treatments for cardiomyopathy and what are the surv,20,20,0.1111111111111111,0.1111111111111111,0.5454545454545454,0.1228070175438596,0.1228070175438596,0.4705882352941177,0.1666666666666666,0.4210526315789474,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0714285714285714,0.0,0.0,0.0,0.0
"herpes. Would it be possible to acquire herpes (1 or 2) in a less painful location such as the arm or leg, and thereby gain immunity to further infection genitally or orally?  As such would dental pros who have acquired the virus in their hands be immune to further contraction of the virus?",How can herpes be prevented?,"Can herpes be acquired in a less painful location such as the arm or leg, and thereby gain immunity to further infection genitally",How is herpes virus transmitted?  How is herpes virus acquired?  How is,Can herpes virus be acquired in other parts of the body to gain immunity?,Where can herpes virus be transmitted and how is it transmitted?  Can herpes virus,8,8,0.25,0.25,0.6,0.1914893617021276,0.1914893617021276,0.2142857142857142,0.2352941176470588,0.3157894736842105,0.3157894736842105,1.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0
"SUBJECT: Recovery from Erb's Palsy. MESSAGE: For a baby with an Erb's Palsy, What is the recommended age at which the infant can be a subject to nerve conduction test? What is it for surgical treatment? Is their an alternative methodolgy for nerve test other than electrical pulses? Where is this provided in the U.S?",when is the best time for surgical treatment for an infant with Erb's Palsy?,What is the recommended age at which the infant can be a subject to nerve conduction test? What is it for surgical treatment? Is their,How is nerve conducted test performed on babies with Erb's palsy?,"When can infants with Erb's Palsy undergo nerve conduction tests,",When can a baby with Erb's Palsy undergo nerve conduction test?,21,21,0.0833333333333333,0.0833333333333333,0.3571428571428571,0.1555555555555555,0.1555555555555555,0.25,0.3703703703703704,0.4615384615384615,0.3703703703703704,0.5,0.0,0.5333333333333333,0.0,0.5714285714285715,0.3333333333333333,0.3333333333333333,0.28571428571428575
SUBJECT: ClinicalTrials.gov - Suggestion. MESSAGE: Hello my name is  [NAME]  and I am a 32  yr old female that has sever problems with abdominal adhesions. I have had several surgeries do to pain and complications. Now I have been vomiting for a year now everytime I eat. I have had several tests done. Nothing obvious shows which leads the dr in Springfield Illinois to believe it's scar tissue pushing on my stomach wall and causing me to expel my food within 30 min of eating. I started out at over 235 pounds and am bouncing around 150-170 now.  I am in severe pain. I am tired of living off pain medicine. I need help!!!!! Please please please!!!! It all started when I had c-section for [PHI] in 2003. I have had to have per 6 abd surgeries since with the last one in 20012 total hystorectomy .   I did well for about a year. And now back to square one just with new problems. I do not want to have surgery to just remove the tissue again. Although it will give me great relief it will cause more. I need something to help inhibit the growth of tissue.  Can anyone help me?? I am very desperate!! I am tired of not being there for [PHI]. In so much pain!! Pain meds are hit and miss on helping and I just hate taking them. I am looking into  essential oils to help with my symptoms. It is a living hell! My e-mail is [CONTACT] please contact me if you can help. Only serious material please.,Is there a way to reduce and prevent internal scarring and adhesions after abdominal surgery ot dissolve adhesions without sugery? ,What are the treatments for adhesions?,What are the latest treatments for abdominal adhesions?  What are the latest treat,What are the non-surgical options for treating abdominal adhesions and their,What are treatments for abdominal adhesions? What are non-surgical treat,32,32,0.3157894736842105,0.3157894736842105,0.5,0.085972850678733,0.085972850678733,0.0769230769230769,0.1212121212121212,0.125,0.1290322580645161,0.8,0.0,0.2741935483870967,0.0,0.3333333333333333,0.0,0.0,0.0
SUBJECT: don't know what to do about keeping dressing on my 17 month olds stitches. MESSAGE: I have a 17 month old that had stitches on his left index finger and he wont keep on the dressing / bandage. please help me to figure out what to do.,What kind of dressing can I use instead of bandages for a toddler?,How can I keep my son's stitches on?,What are the careggiver's options for stitches on a child?  How,How can i keep my 17 month old's stitches covered?,17 months old child stitches dressing/bandage. What are the guidelines,18,18,0.1666666666666666,0.1666666666666666,0.8461538461538461,0.1025641025641025,0.1025641025641025,0.1818181818181818,0.24,0.1666666666666666,0.1666666666666666,0.75,0.0,0.4,0.0,0.0,0.0,0.0,0.47058823529411764
"SUBJECT: Mitral valve regurgitation. MESSAGE: Hi, I am writing on behalf of my dad. He is 65 and he is diagnosed with Rheumatic Mitral Valve regurgitation 8 years ago. 3 years ago he also diagnosed with heart failure. Currently he has been using Coumadin, beta blocker, diuretics, ACE inhibitor, as a medicine and as suppliments omega3,6,9 fish oil, Co-enzyme q10, vitamin C, K2, Ginco Biloba, Magnesium Citrate using daily. I would appreciate if you can help us with some of the symptoms my dad is experiencing.  feeling sick in the morning and trowing up before and after breakfast, feeling tired all the time, struggling to walk to the first floor without resting. He has low blood pressure (like 5 - 7), [PHI]. We are very worried about my dad. Could you please suggest us if we are using wrong medication or we are supposed to use any more or less medication or supplements. Please please please help us I am very scared if something happens to my dad. I look forward to hearing from you [NAME]","What could cause fatigue, vomiting and low blood pressure in a 65 year old man with history of heart disease who is taking coumadin, beta-blockers, diuretics, ACE inhibitors and supplements? ",What are the symptoms of mitral valve regurgitation?,What are the treatments for mitral valve regurgitation?  What are the treatments,What medication and supplements can help with mitral valve regurgitation symptoms?,What are the symptoms of mitral valve regurgitation and how are they treated? What,53,53,0.125,0.125,0.4666666666666667,0.1560283687943262,0.1560283687943262,0.1025641025641025,0.0465116279069767,0.1428571428571428,0.1333333333333333,0.3529411764705882,0.0588235294117647,0.4375,0.0208333333333333,0.0,0.0,0.0,0.0
"SUBJECT: vomiting blood and blood clots, ( pulmonary embolisms). MESSAGE: Is it possible to vomit blood, with abdominal pain, fatigue that caused them to sleep two days, left sided chest pain ( left upper ribcage area), and suffer from Bilateral Pulmonary Embolism with Left Lower Lobe Infarction four weeks later? The blood was bright red, about one cup.",Is there a connection between chest pain with vomiting blood and a pulmonary embolism with lung infarction four weeks later?,What are the symptoms of pulmonary embolism?,What are the causes of vomited blood?  What are the causes of pulmonary embol,Can vomiting blood and clots indicate a pulmonary embolism?,What are the symptoms of vomiting blood? What are the symptoms of abdominal pain,29,29,0.2631578947368421,0.2631578947368421,0.25,0.2888888888888888,0.2888888888888888,0.1481481481481481,0.2352941176470588,0.4137931034482758,0.1176470588235294,0.5,0.0,0.5333333333333333,0.0,0.0,0.0,0.5,0.5
